Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Sterling Brown,23.7,MIL,Wing,917,30,14.1%,79,115.6,53,10.5%,68,0.75,35,11.7%
Troy Brown,19.3,WAS,Wing,641,50,15.9%,31,102.3,73,13.4%,82,0.84,59,10.4%
Jalen Brunson,22.2,DAL,Point,1540,35,20.6%,63,110.3,20,21.5%,37,1.04,72,11.4%
Thomas Bryant,21.3,WAS,Big,1438,37,15.2%,96,136.0,51,9.2%,62,0.60,74,11.1%
Reggie Bullock,27.6,DET,Wing,1352,49,15.8%,80,115.6,65,11.8%,67,0.74,48,10.8%
Reggie Bullock,27.6,LAL,Wing,519,13,11.9%,65,112.0,7,4.8%,11,0.40,91,7.3%
Trey Burke,26.0,DAL,Point,407,65,25.5%,80,113.5,35,24.1%,26,0.95,94,7.6%
Trey Burke,26.0,NYK,Point,677,76,27.3%,31,101.9,22,22.1%,9,0.81,100,6.5%
Alec Burks,27.3,CLE,Wing,954,75,19.9%,38,104.6,80,14.9%,70,0.75,53,10.7%
Alec Burks,27.3,UTA,Wing,255,83,21.8%,64,111.8,61,11.3%,32,0.52,40,11.6%
Alec Burks,27.3,SAC,Wing,111,3,10.5%,21,100.0,34,8.2%,72,0.78,10,14.8%
Deonte Burton,24.8,OKC,Forward,220,37,14.2%,6,90.7,18,5.3%,21,0.38,93,8.2%
Jimmy Butler,29.1,PHI,Forward,1823,90,22.6%,69,114.1,94,17.5%,87,0.78,92,8.3%
Jimmy Butler,29.1,MIN,Wing,361,91,23.6%,82,116.4,94,19.8%,80,0.84,94,6.8%
Bruno Caboclo,23.1,MEM,Forward,783,39,14.7%,72,115.1,58,8.4%,68,0.57,24,13.6%
Jose Calderon,37.1,DET,Combo,580,7,14.4%,10,94.8,83,27.7%,100,1.93,2,17.8%
Kentavious Caldwell-Pope,25.7,LAL,Wing,1989,60,16.4%,84,116.7,30,7.9%,25,0.48,87,8.0%
Isaiah Canaan,27.4,PHX,Combo,500,14,16.2%,41,103.6,36,17.8%,64,1.10,14,14.5%
Clint Capela,24.5,HOU,Big,2244,40,15.6%,93,131.7,27,7.1%,27,0.45,62,11.9%
DeMarre Carroll,32.3,BKN,Forward,1696,62,17.5%,41,108.9,46,7.5%,30,0.43,63,10.1%
Jevon Carter,23.1,MEM,Combo,533,39,18.6%,2,86.4,34,17.5%,42,0.94,37,12.9%
Vince Carter,41.8,ATL,Big,1322,41,15.7%,46,113.8,55,9.6%,63,0.61,87,9.6%
Wendell Carter,19.5,CHI,Big,1102,62,18.2%,23,108.2,74,11.9%,68,0.65,36,14.4%
