player_name,game_id,game_date,y,y_pred
Rodney Stuckey,21600902,2017-03-01,3,3.0099978
Tomas Satoransky,21600896,2017-03-01,3,2.9822936
Malcolm Delaney,21600897,2017-03-01,1,0.8895837
Mirza Teletovic,21600899,2017-03-01,0,0.06922646
Goran Dragic,21600898,2017-03-01,2,2.049415
Jeremy Lin,21600905,2017-03-01,5,5.298013
Khris Middleton,21600899,2017-03-01,5,5.0648723
Paul Millsap,21600897,2017-03-01,10,6.7001033
Ben McLemore,21600905,2017-03-01,0,0.07822798
Tyler Zeller,21600901,2017-03-01,0,0.06783591
Andrew Wiggins,21600903,2017-03-01,1,0.9618105
Kosta Koufos,21600905,2017-03-01,0,0.07822798
Justin Holiday,21600895,2017-03-01,0,0.07639253
Rakeem Christmas,21600902,2017-03-01,1,1.0318489
JJ Redick,21600904,2017-03-01,2,2.0277069
Terry Rozier,21600901,2017-03-01,1,1.2260824
Buddy Hield,21600905,2017-03-01,0,0.13617727
Pau Gasol,21600902,2017-03-01,2,2.2741163
Ricky Rubio,21600903,2017-03-01,9,8.836188
Marcin Gortat,21600896,2017-03-01,1,1.22294
Dante Cunningham,21600900,2017-03-01,1,0.9792829
Eric Gordon,21600904,2017-03-01,1,1.2039938
Will Barton,21600970,2017-03-10,4,4.1311426
Jameer Nelson,21600970,2017-03-10,5,4.930492
Matthew Dellavedova,21600967,2017-03-10,3,3.119965
Dwight Powell,21600971,2017-03-10,1,1.0133483
Garrett Temple,21600972,2017-03-10,5,4.811144
Thaddeus Young,21600967,2017-03-10,1,1.0790125
DeMar DeRozan,21600969,2017-03-10,6,5.847064
Thabo Sefolosha,21600969,2017-03-10,1,0.9530468
D.J. Augustin,21600965,2017-03-10,1,1.1071268
Arron Afflalo,21600972,2017-03-10,1,0.9050531
Paul Zipser,21600966,2017-03-10,0,0.06851907
Mason Plumlee,21600970,2017-03-10,4,3.6959772
Terrence Ross,21600965,2017-03-10,0,0.65267444
Spencer Hawes,21600967,2017-03-10,0,0.063905075
Jae Crowder,21600970,2017-03-10,4,4.0224366
John Wall,21600972,2017-03-10,12,10.888925
