player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Anthony Davis,21601039,2017-03-19,5,4.9990296,10800.0,10800.0,54.0,PF/C,PF/C,PF
Ricky Rubio,21601039,2017-03-19,3,2.8203313,7500.0,7500.0,35.0,PG,PG,PG
Gorgui Dieng,21601039,2017-03-19,3,2.9488797,5000.0,5000.0,19.0,PF/C,PF/C,PF
James Johnson,21601041,2017-03-19,0,0.019748278,5800.0,5800.0,22.0,PF/C,PF/C,PF
Andre Drummond,21601038,2017-03-19,3,2.8978117,7100.0,7100.0,30.0,C,C,C
Damian Lillard,21601041,2017-03-19,3,2.9672248,8700.0,8700.0,42.0,PG,PG,PG
Serge Ibaka,21601040,2017-03-19,1,0.9355691,5700.0,5700.0,25.0,PF/C,PF/C,PF
D'Angelo Russell,21601043,2017-03-19,1,1.2378228,5500.0,5500.0,29.0,PG,PG,PG
Jordan Clarkson,21601043,2017-03-19,2,1.7225785,5900.0,5900.0,18.0,PG/SG,PG/SG,PG
Al Horford,21601037,2017-03-19,1,0.7979583,6800.0,6800.0,23.0,C,C,C
Caris LeVert,21601036,2017-03-19,1,1.0328008,4100.0,4100.0,11.0,SF,SF,SF
Spencer Dinwiddie,21601036,2017-03-19,1,1.0592132,3500.0,3500.0,10.0,PG/SG,PG/SG,PG
CJ McCollum,21601041,2017-03-19,3,2.8413231,7200.0,7200.0,33.0,PG/SG,PG/SG,SG
Goran Dragic,21601041,2017-03-19,2,1.1462723,7600.0,7600.0,33.0,PG,PG,PG
LeBron James,21601043,2017-03-19,3,2.928821,11400.0,11400.0,56.0,SF,SF,SF
DeMar DeRozan,21601040,2017-03-19,4,3.8611102,7700.0,7700.0,42.0,SG,SG,SG
Garrett Temple,21601042,2017-03-19,2,1.9584268,3900.0,3900.0,10.0,SG/SF,SG/SF,SG
Andrew Wiggins,21601039,2017-03-19,4,3.9200163,6700.0,6700.0,35.0,SF/PF,SF/PF,SF
Hassan Whiteside,21601041,2017-03-19,1,1.007136,8500.0,8500.0,37.0,C,C,C
Nik Stauskas,21601037,2017-03-19,3,2.9596303,3400.0,3400.0,10.0,SG,SG,SG
Yogi Ferrell,21601036,2017-03-19,1,1.0460042,4700.0,4700.0,14.0,PG,PG,PG
Kyrie Irving,21601043,2017-03-19,3,2.729306,8300.0,8300.0,43.0,PG,PG,PG
Dirk Nowitzki,21601036,2017-03-19,0,0.13619407,6300.0,6300.0,22.0,PF/C,PF/C,C
Doug McDermott,21601015,2017-03-16,1,0.99791926,3100.0,3100.0,10.0,SG/SF,SG/SF,SF
Karl-Anthony Towns,21601039,2017-03-19,3,3.0836706,10300.0,10300.0,50.0,PF/C,PF/C,C
Luke Babbitt,21601041,2017-03-19,0,0.0462789,3000.0,3000.0,10.0,PF,PF,PF
Tim Frazier,21601039,2017-03-19,0,0.03181932,3700.0,3700.0,10.0,PG,PG,PG
Delon Wright,21601040,2017-03-19,2,2.004981,3000.0,3000.0,10.0,PG/SG,PG/SG,PG
Gerald Henderson,21601037,2017-03-19,1,1.0006024,3500.0,3500.0,10.0,SG,SG,SG
Patrick Patterson,21601040,2017-03-19,0,0.041076355,3000.0,3000.0,10.0,PF,PF,PF
Evan Turner,21601041,2017-03-19,1,1.0085325,4300.0,4300.0,15.0,SG/SF,SG/SF,SF
Paul George,21601040,2017-03-19,3,2.9038565,8800.0,8800.0,38.0,SF,SF,SF
Jonas Jerebko,21601037,2017-03-19,1,0.99791926,3000.0,3000.0,10.0,PF,PF,PF
Robert Covington,21601037,2017-03-19,4,3.9800775,6900.0,6900.0,27.0,SF/PF,SF/PF,SF
Tobias Harris,21601038,2017-03-19,1,1.0723684,6000.0,6000.0,21.0,SF/PF,SF/PF,SF
Reggie Jackson,21601038,2017-03-19,2,2.1980717,5600.0,5600.0,20.0,PG,PG,PG
Maurice Harkless,21601041,2017-03-19,2,1.9914981,4400.0,4400.0,15.0,SF,SF,SF
Richard Jefferson,21601043,2017-03-19,0,0.041076355,3300.0,3300.0,10.0,SF/PF,SF/PF,PF
Tyler Ulis,21601038,2017-03-19,2,1.5028613,6500.0,6500.0,11.0,PG,PG,PG
Jakob Poeltl,21601040,2017-03-19,1,0.92123115,3000.0,3000.0,10.0,C,C,C
Alan Williams,21601038,2017-03-19,0,0.10563743,6100.0,6100.0,18.0,C,C,C
Gerald Green,21601037,2017-03-19,1,1.0176827,3000.0,3000.0,10.0,SF,SF,SF
DeMarcus Cousins,21601039,2017-03-19,4,5.0776153,9800.0,9800.0,52.0,PF/C,PF/C,C
Georgios Papagiannis,21601042,2017-03-19,1,0.99791926,3000.0,3000.0,10.0,C,C,C
Julius Randle,21601043,2017-03-19,1,1.1221393,7000.0,7000.0,30.0,PF/C,PF/C,PF
Donatas Motiejunas,21601039,2017-03-19,0,0.04136732,3000.0,3000.0,10.0,PF,PF,PF
Al-Farouq Aminu,21601041,2017-03-19,1,1.6539402,4900.0,4900.0,16.0,PF,PF,PF
Channing Frye,21601043,2017-03-19,2,1.9040657,3400.0,3400.0,10.0,PF,PF,PF
Ivica Zubac,21601043,2017-03-19,0,0.045671575,5600.0,5600.0,13.0,C,C,C
Harrison Barnes,21601036,2017-03-19,2,1.9740595,6200.0,6200.0,26.0,SF/PF,SF/PF,PF
David Lee,21601042,2017-03-19,0,0.05087412,5200.0,5200.0,15.0,PF/C,PF/C,PF
KJ McDaniels,21601036,2017-03-19,1,0.99791926,3000.0,3000.0,10.0,SF,SF,SF
Randy Foye,21601036,2017-03-19,4,3.927239,3000.0,3000.0,10.0,SG,SG,SG
Aaron Brooks,21601040,2017-03-19,1,1.0392158,3000.0,3000.0,10.0,PG,PG,PG
Jon Leuer,21601038,2017-03-19,2,2.0129793,4200.0,4200.0,13.0,PF/C,PF/C,PF
E'Twaun Moore,21601039,2017-03-19,1,0.9907521,3900.0,3900.0,10.0,SG/SF,SG/SF,SG
Willie Reed,21601041,2017-03-19,2,1.966459,3700.0,3700.0,10.0,C,C,C
Danny Green,21601042,2017-03-19,1,1.2130847,3700.0,3700.0,10.0,SG,SG,SG
Aron Baynes,21601038,2017-03-19,0,0.04136732,3500.0,3500.0,10.0,C,C,C
Shawn Long,21601037,2017-03-19,0,0.12820588,3000.0,3000.0,10.0,PF,PF,PF
Ty Lawson,21601042,2017-03-19,1,1.0575495,4200.0,4200.0,11.0,PG,PG,PG
Nikola Mirotic,21601032,2017-03-18,1,1.0392158,4400.0,4400.0,10.0,PF,PF,PF
Bojan Bogdanovic,21601030,2017-03-18,4,3.8517327,4500.0,4500.0,15.0,SG/SF,SG/SF,SG
Zaza Pachulia,21601035,2017-03-18,2,1.9706293,4000.0,4000.0,10.0,C,C,C
Marreese Speights,21601031,2017-03-18,1,1.084339,4000.0,4000.0,10.0,PF/C,PF/C,PF
Tristan Thompson,21601031,2017-03-18,0,0.045671575,4400.0,4400.0,16.0,C,C,C
Klay Thompson,21601035,2017-03-18,0,0.14286856,7200.0,7200.0,32.0,SG,SG,SG
Bobby Portis,21601032,2017-03-18,0,0.058807068,3500.0,3500.0,13.0,PF,PF,PF
Rashad Vaughn,21601035,2017-03-18,1,0.99791926,3000.0,3000.0,10.0,SG,SG,SG
Garrett Temple,21601028,2017-03-18,2,2.0707705,4000.0,4000.0,10.0,SG/SF,SG/SF,SG
Myles Turner,21601040,2017-03-19,2,2.004981,5800.0,5800.0,22.0,C,C,C
Spencer Hawes,21601035,2017-03-18,0,0.04136732,3000.0,3000.0,10.0,C,C,C
Pat Connaughton,21601029,2017-03-18,0,0.0462789,3000.0,3000.0,10.0,SF,SF,SG
Troy Daniels,21601033,2017-03-18,1,1.1013741,3000.0,3000.0,10.0,SG,SG,SG
Marcin Gortat,21601030,2017-03-18,1,1.0619212,5000.0,5000.0,19.0,C,C,C
Jason Smith,21601030,2017-03-18,0,0.045671575,3000.0,3000.0,10.0,PF/C,PF/C,PF
Ian Clark,21601035,2017-03-18,1,1.0027468,3500.0,3500.0,12.0,PG/SG,PG/SG,PG
Cody Zeller,21601030,2017-03-18,0,0.04136732,4900.0,4900.0,14.0,C,C,C
Michael Carter-Williams,21601032,2017-03-18,2,1.9507102,3800.0,3800.0,10.0,PG,PG,PG
Ian Mahinmi,21601030,2017-03-18,0,0.041076355,3400.0,3400.0,10.0,C,C,C
Andre Roberson,21601028,2017-03-18,0,0.041076355,3900.0,3900.0,11.0,SF,SF,SF
Kosta Koufos,21601028,2017-03-18,1,0.943728,4000.0,4000.0,10.0,C,C,C
Mason Plumlee,21601034,2017-03-18,2,2.1428218,6000.0,6000.0,17.0,C,C,C
Joe Johnson,21601032,2017-03-18,1,1.0234581,4000.0,4000.0,10.0,SF,SF,SF
Bryn Forbes,21601033,2017-03-18,0,0.04136732,3000.0,3000.0,10.0,PG,PG,PG
Joe Ingles,21601032,2017-03-18,0,0.05087412,4400.0,4400.0,10.0,SG/SF,SG/SF,SG
John Henson,21601035,2017-03-18,0,0.041076355,3100.0,3100.0,10.0,C,C,PF
Trevor Ariza,21601034,2017-03-18,0,0.04136732,5300.0,5300.0,17.0,SF/PF,SF/PF,SF
Tony Parker,21601033,2017-03-18,1,1.1260821,4000.0,4000.0,11.0,PG,PG,PG
Kawhi Leonard,21601033,2017-03-18,4,3.906486,10000.0,10000.0,50.0,SF,SF,SF
Kay Felder,21601031,2017-03-18,2,1.9993448,3000.0,3000.0,10.0,PG,PG,PG
Meyers Leonard,21601029,2017-03-18,0,0.04136732,3000.0,3000.0,10.0,PF/C,PF/C,C
Jason Terry,21601035,2017-03-18,0,0.04136732,3000.0,3000.0,10.0,PG,PG,SG
Andrew Harrison,21601033,2017-03-18,1,1.0360827,3500.0,3500.0,10.0,PG,PG,PG
Deyonta Davis,21601033,2017-03-18,0,0.04136732,3000.0,3000.0,10.0,PF,PF,PF
