player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Devin Booker,21600844,2017-02-15,23,24.907,7200.0,7200.0,28.0,SG,SG,SG
Jonas Valanciunas,21600837,2017-02-15,10,10.1979475,5700.0,5700.0,18.0,C,C,C
LaMarcus Aldridge,21600834,2017-02-15,23,22.921917,6300.0,6300.0,29.0,PF,PF,PF
Jrue Holiday,21600840,2017-02-15,19,19.700333,7500.0,7500.0,35.0,PG,PG,PG
Matt Barnes,21600847,2017-02-15,15,12.689819,5100.0,5100.0,16.0,SF/PF,SF/PF,SF
Al Jefferson,21600848,2017-02-16,12,12.857084,3000.0,3000.0,10.0,C,C,C
Tomas Satoransky,21600848,2017-02-16,0,0.0039542206,3000.0,3000.0,10.0,PG/SG,PG/SG,SG
Michael Carter-Williams,21600849,2017-02-16,4,5.8040214,5100.0,5100.0,13.0,PG,PG,PG
John Wall,21600848,2017-02-16,20,20.98894,10700.0,10700.0,51.0,PG,PG,PG
Paul George,21600848,2017-02-16,17,18.898954,8200.0,8200.0,37.0,SF,SF,SF
Kevin Seraphin,21600848,2017-02-16,9,9.082975,3500.0,3500.0,10.0,PF/C,PF/C,PF
Jeff Teague,21600848,2017-02-16,6,5.6522775,7400.0,7400.0,34.0,PG,PG,PG
Cristiano Felicio,21600849,2017-02-16,4,4.2713723,3600.0,3600.0,10.0,C,C,C
Rodney Stuckey,21600848,2017-02-16,12,11.284687,3000.0,3000.0,10.0,PG,PG,PG
Myles Turner,21600848,2017-02-16,17,16.062468,5500.0,5500.0,22.0,C,C,C
Jonas Jerebko,21600849,2017-02-16,2,2.594705,3000.0,3000.0,10.0,PF,PF,PF
Marcin Gortat,21600848,2017-02-16,12,12.324194,6000.0,6000.0,23.0,C,C,C
CJ Miles,21600848,2017-02-16,6,5.6835494,3600.0,3600.0,11.0,SG/SF,SG/SF,SG
Kelly Olynyk,21600849,2017-02-16,17,14.982114,4500.0,4500.0,10.0,PF/C,PF/C,C
Isaiah Thomas,21600849,2017-02-16,29,28.974304,9300.0,9300.0,48.0,PG,PG,PG
Bobby Portis,21600849,2017-02-16,19,16.449924,3400.0,3400.0,10.0,PF,PF,PF
Jimmy Butler,21600849,2017-02-16,29,27.794722,9100.0,9100.0,46.0,SG/SF,SG/SF,SF
