player_name,game_date,stl,stl_pred
LeBron James,2017-11-07,3.0,1.1627221
LeBron James,2017-11-09,1.0,1.5433019
LeBron James,2017-11-11,0.0,0.9904289
LeBron James,2017-11-13,0.0,1.2827265
LeBron James,2017-11-15,2.0,1.3062291
LeBron James,2017-11-17,0.0,1.3851645
Marc Gasol,2017-10-30,2.0,1.0258709
Marc Gasol,2017-11-01,0.0,0.47198215
Marc Gasol,2017-11-05,0.0,0.41488424
Marc Gasol,2017-11-07,0.0,0.17963472
Marc Gasol,2017-11-11,0.0,0.62788177
Marc Gasol,2017-11-13,0.0,0.31781647
Marc Gasol,2017-11-15,0.0,0.427713
Myles Turner,2017-11-15,0.0,0.6784333
Myles Turner,2017-11-17,0.0,0.62107456
Nikola Jokic,2017-10-30,1.0,1.5755627
Nikola Jokic,2017-11-01,1.0,1.6060059
Nikola Jokic,2017-11-03,4.0,1.7230182
Nikola Jokic,2017-11-04,2.0,1.412643
Nikola Jokic,2017-11-07,2.0,1.4808187
Nikola Jokic,2017-11-09,1.0,1.2960322
Nikola Jokic,2017-11-11,4.0,1.932812
Nikola Jokic,2017-11-13,3.0,1.7647111
Nikola Jokic,2017-11-17,0.0,1.1450846
Nikola Vucevic,2017-10-30,0.0,0.9823292
Nikola Vucevic,2017-11-01,1.0,1.371357
Nikola Vucevic,2017-11-03,1.0,1.4533093
Nikola Vucevic,2017-11-08,4.0,1.6089659
Nikola Vucevic,2017-11-10,0.0,1.0570915
Nikola Vucevic,2017-11-11,0.0,1.3242021
Nikola Vucevic,2017-11-13,1.0,0.84168464
Nikola Vucevic,2017-11-15,0.0,1.0052142
Paul George,2017-10-28,4.0,1.5423197
Paul George,2017-10-31,1.0,1.3672554
Paul George,2017-11-03,1.0,1.7993617
Paul George,2017-11-05,3.0,2.0425355
Paul George,2017-11-07,3.0,2.0052166
Paul George,2017-11-09,4.0,2.0727694
Paul George,2017-11-10,3.0,1.7822208
Paul George,2017-11-12,2.0,1.159775
Paul George,2017-11-15,0.0,1.3484746
Paul George,2017-11-17,3.0,2.044276
Ricky Rubio,2017-10-30,4.0,2.5500438
Ricky Rubio,2017-11-01,2.0,2.3271942
Ricky Rubio,2017-11-03,1.0,1.8820097
Ricky Rubio,2017-11-05,0.0,1.4874034
Ricky Rubio,2017-11-11,4.0,1.4496591
Ricky Rubio,2017-11-13,0.0,1.0776162
