player_name,game_date,reb,reb_pred
Andre Drummond,2017-10-29,18.0,15.701396
Andre Drummond,2017-10-31,12.0,15.308724
Andre Drummond,2017-11-03,14.0,16.540995
Andre Drummond,2017-11-04,19.0,16.423883
Andre Drummond,2017-11-08,21.0,17.118057
Andre Drummond,2017-11-10,20.0,16.81094
Andre Drummond,2017-11-12,17.0,16.061478
Andre Drummond,2017-11-15,17.0,16.363054
Andre Drummond,2017-11-17,15.0,16.092522
Anthony Davis,2017-11-03,13.0,10.533135
Anthony Davis,2017-11-04,16.0,10.390686
Anthony Davis,2017-11-07,14.0,10.199732
Anthony Davis,2017-11-09,7.0,9.259702
Anthony Davis,2017-11-11,10.0,9.609304
Anthony Davis,2017-11-13,10.0,9.088168
Anthony Davis,2017-11-15,5.0,9.505069
Anthony Davis,2017-11-17,5.0,9.067853
Ben Simmons,2017-11-03,11.0,7.424464
Ben Simmons,2017-11-07,12.999999,7.517447
Ben Simmons,2017-11-09,2.0,6.284418
Ben Simmons,2017-11-11,5.0,6.5712013
Ben Simmons,2017-11-13,12.0,9.321563
Ben Simmons,2017-11-15,9.0,8.234721
Blake Griffin,2017-10-30,3.0,6.3437634
Blake Griffin,2017-11-01,6.0,7.2434955
Blake Griffin,2017-11-05,8.0,6.6936536
Blake Griffin,2017-11-07,9.0,7.5935626
Blake Griffin,2017-11-10,6.0,6.5583835
Blake Griffin,2017-11-11,4.0,6.2087226
Blake Griffin,2017-11-13,6.0,6.6481204
Blake Griffin,2017-11-17,12.0,6.7204695
Bradley Beal,2017-11-03,4.0,5.1347165
Bradley Beal,2017-11-05,5.0,4.6327114
Bradley Beal,2017-11-07,4.0,4.8569613
Bradley Beal,2017-11-09,5.0,5.016699
Bradley Beal,2017-11-11,4.0,4.805086
Bradley Beal,2017-11-13,7.0,5.125914
Bradley Beal,2017-11-15,7.0,4.943527
Bradley Beal,2017-11-17,10.0,4.906979
CJ McCollum,2017-11-02,2.0,4.8490834
CJ McCollum,2017-11-05,3.0,5.799543
Carmelo Anthony,2017-10-28,5.0,4.228899
Clint Capela,2017-11-14,11.0,10.411114
D'Angelo Russell,2017-11-06,6.0,4.6709027
Damian Lillard,2017-10-30,2.0,6.0964317
Damian Lillard,2017-11-01,10.0,6.814167
Damian Lillard,2017-11-02,6.0,6.4007816
Damian Lillard,2017-11-05,5.0,6.1463213
Damian Lillard,2017-11-07,5.0,5.5279737
Damian Lillard,2017-11-10,9.0,7.295574
Damian Lillard,2017-11-13,5.0,6.115236
Damian Lillard,2017-11-15,11.0,6.9886084
Damian Lillard,2017-11-17,1.0,5.3497424
DeAndre Jordan,2017-10-30,11.0,12.110783
DeAndre Jordan,2017-11-01,9.0,13.6891775
DeAndre Jordan,2017-11-05,19.0,14.913714
DeAndre Jordan,2017-11-07,7.0,12.461303
DeAndre Jordan,2017-11-10,12.0,13.526598
DeAndre Jordan,2017-11-11,14.0,14.252159
DeMar DeRozan,2017-11-01,1.0,4.342855
DeMar DeRozan,2017-11-03,6.0,4.7517195
DeMar DeRozan,2017-11-05,4.0,4.4434934
DeMar DeRozan,2017-11-07,4.0,4.566328
DeMar DeRozan,2017-11-09,2.0,4.313939
DeMar DeRozan,2017-11-12,3.0,3.491785
DeMar DeRozan,2017-11-14,6.0,4.3787823
DeMar DeRozan,2017-11-15,9.0,5.107468
DeMar DeRozan,2017-11-17,6.0,4.4933815
DeMarcus Cousins,2017-11-01,9.0,14.476154
DeMarcus Cousins,2017-11-03,22.0,17.585049
DeMarcus Cousins,2017-11-04,11.0,14.192646
DeMarcus Cousins,2017-11-07,13.0,15.20762
DeMarcus Cousins,2017-11-09,15.0,15.5271015
