player_name,game_date,blk,blk_pred
DeMar DeRozan,2017-11-09,0.0,0.06303887
DeMar DeRozan,2017-11-12,1.0,0.3501743
DeMar DeRozan,2017-11-14,0.0,0.21504663
DeMar DeRozan,2017-11-15,0.0,0.24744265
DeMar DeRozan,2017-11-17,0.0,0.2133726
DeMarcus Cousins,2017-11-01,3.0,1.43685
DeMarcus Cousins,2017-11-03,0.0,1.2960659
DeMarcus Cousins,2017-11-04,1.0,0.8402246
DeMarcus Cousins,2017-11-07,2.0,1.5532224
DeMarcus Cousins,2017-11-09,1.0,1.7633164
DeMarcus Cousins,2017-11-11,1.0,1.6644964
DeMarcus Cousins,2017-11-13,0.0,1.003915
DeMarcus Cousins,2017-11-15,1.0,0.33553255
DeMarcus Cousins,2017-11-17,0.0,1.4727274
Dennis Schroder,2017-11-03,0.0,0.18462165
Dennis Schroder,2017-11-05,0.0,0.020048067
Dennis Schroder,2017-11-06,0.0,-0.042021684
Dennis Schroder,2017-11-10,0.0,0.07530002
Dennis Schroder,2017-11-11,0.0,0.14873837
Devin Booker,2017-11-17,0.0,0.19558828
Draymond Green,2017-10-30,1.0,1.3693565
Draymond Green,2017-11-02,0.0,0.75964713
Draymond Green,2017-11-04,1.0,0.3161829
Draymond Green,2017-11-06,1.0,1.4846158
Draymond Green,2017-11-08,2.0,1.1897207
Draymond Green,2017-11-11,5.0,1.5334187
Draymond Green,2017-11-13,0.0,0.83012515
Draymond Green,2017-11-16,3.0,0.6849635
Dwight Howard,2017-11-05,1.0,0.69918215
Dwight Howard,2017-11-10,2.0,0.7392701
Dwight Howard,2017-11-15,0.0,0.25012258
Giannis Antetokounmpo,2017-10-31,1.0,1.0791571
Giannis Antetokounmpo,2017-11-01,2.0,1.7532711
Giannis Antetokounmpo,2017-11-03,4.0,2.5465167
Giannis Antetokounmpo,2017-11-07,3.0,2.3215263
Giannis Antetokounmpo,2017-11-10,4.0,2.4002478
Giannis Antetokounmpo,2017-11-11,1.0,2.465106
Giannis Antetokounmpo,2017-11-13,2.0,2.542472
Giannis Antetokounmpo,2017-11-15,4.0,2.0471275
Hassan Whiteside,2017-11-10,3.0,1.6107371
Hassan Whiteside,2017-11-12,2.0,0.62086385
Hassan Whiteside,2017-11-15,1.0,0.90488714
Hassan Whiteside,2017-11-17,2.0,0.9044544
James Harden,2017-10-30,1.0,0.41749632
James Harden,2017-11-01,0.0,0.25464112
James Harden,2017-11-03,0.0,-0.27043766
James Harden,2017-11-05,0.0,0.48184788
James Harden,2017-11-09,1.0,0.5348345
James Harden,2017-11-11,1.0,0.2682634
James Harden,2017-11-12,0.0,0.32526302
James Harden,2017-11-14,1.0,0.11662589
James Harden,2017-11-16,1.0,0.7271391
Jimmy Butler,2017-11-04,0.0,0.21990575
Jimmy Butler,2017-11-05,0.0,0.14175291
Jimmy Butler,2017-11-08,0.0,0.16543256
Jimmy Butler,2017-11-15,1.0,0.33080155
Jimmy Butler,2017-11-17,0.0,0.09015863
Joel Embiid,2017-11-01,3.0,2.6527805
Joel Embiid,2017-11-03,2.0,2.1902375
Joel Embiid,2017-11-09,3.0,2.3151052
Joel Embiid,2017-11-11,1.0,2.1731822
Joel Embiid,2017-11-13,1.0,1.9036422
Joel Embiid,2017-11-15,7.0,3.8272614
John Wall,2017-11-01,1.0,1.3079541
John Wall,2017-11-03,1.0,0.88147616
John Wall,2017-11-07,1.0,1.282255
John Wall,2017-11-09,3.0,1.2884867
John Wall,2017-11-11,2.0,0.90672237
John Wall,2017-11-13,0.0,0.3071229
John Wall,2017-11-15,2.0,0.4510547
John Wall,2017-11-17,0.0,0.8720577
Jusuf Nurkic,2017-11-07,0.0,0.178507
Jusuf Nurkic,2017-11-10,0.0,0.44256675
Jusuf Nurkic,2017-11-13,1.0,0.7962452
Jusuf Nurkic,2017-11-15,0.0,0.73562
Jusuf Nurkic,2017-11-17,0.0,1.0150797
Karl-Anthony Towns,2017-10-30,3.0,1.7897549
Karl-Anthony Towns,2017-11-01,2.0,1.9299924
Karl-Anthony Towns,2017-11-04,2.0,1.7696764
Karl-Anthony Towns,2017-11-05,2.0,1.5921812
Karl-Anthony Towns,2017-11-08,0.0,0.65200406
Karl-Anthony Towns,2017-11-11,2.0,1.1670566
Karl-Anthony Towns,2017-11-13,1.0,1.8536384
Karl-Anthony Towns,2017-11-15,2.0,0.9425146
Karl-Anthony Towns,2017-11-17,0.0,1.1081042
Kemba Walker,2017-10-30,0.0,0.35066974
Kemba Walker,2017-11-01,1.0,0.3718899
Kemba Walker,2017-11-03,0.0,0.08152607
Kemba Walker,2017-11-05,0.0,0.079411015
Kemba Walker,2017-11-10,0.0,0.29477888
Kemba Walker,2017-11-15,0.0,0.0903102
Kemba Walker,2017-11-17,0.0,0.20698415
Kevin Durant,2017-10-30,0.0,1.1658452
Kevin Durant,2017-11-02,3.0,1.3984268
Kevin Durant,2017-11-04,2.0,1.2594686
Kevin Durant,2017-11-06,3.0,1.817374
Kevin Durant,2017-11-11,2.0,1.7223971
Kevin Durant,2017-11-13,0.0,0.9653528
Kevin Durant,2017-11-16,2.0,0.73144335
Kevin Love,2017-11-01,1.0,0.2882892
Kevin Love,2017-11-03,0.0,0.07555732
Kevin Love,2017-11-05,0.0,-0.07920675
Kevin Love,2017-11-13,0.0,0.1763842
Khris Middleton,2017-11-11,0.0,0.26400727
Kristaps Porzingis,2017-10-30,3.0,2.236212
Kristaps Porzingis,2017-11-01,1.0,1.9803951
Kristaps Porzingis,2017-11-03,3.0,2.1670156
Kristaps Porzingis,2017-11-05,6.0,3.6562195
Kristaps Porzingis,2017-11-07,3.0,2.9462037
Kristaps Porzingis,2017-11-11,2.0,2.6974216
Kristaps Porzingis,2017-11-13,1.0,3.2284417
Kristaps Porzingis,2017-11-15,2.0,2.6697454
Kristaps Porzingis,2017-11-17,4.0,2.2523322
Kyle Lowry,2017-11-07,0.0,0.13998957
Kyle Lowry,2017-11-09,0.0,0.12933417
Kyle Lowry,2017-11-12,0.0,0.050914705
Kyle Lowry,2017-11-14,0.0,0.034656495
Kyle Lowry,2017-11-17,0.0,0.04800749
Kyrie Irving,2017-11-01,0.0,0.43907362
Kyrie Irving,2017-11-03,1.0,0.471636
Kyrie Irving,2017-11-05,0.0,0.11456619
Kyrie Irving,2017-11-06,0.0,0.09971537
Kyrie Irving,2017-11-08,0.0,0.0467062
Kyrie Irving,2017-11-10,0.0,0.3472494
Kyrie Irving,2017-11-14,0.0,0.4210825
Kyrie Irving,2017-11-16,1.0,0.63574374
LaMarcus Aldridge,2017-10-30,1.0,1.1420275
LaMarcus Aldridge,2017-11-02,2.0,1.2261988
LaMarcus Aldridge,2017-11-03,1.0,0.71863306
LaMarcus Aldridge,2017-11-05,0.0,0.40109965
LaMarcus Aldridge,2017-11-07,2.0,0.6240431
LaMarcus Aldridge,2017-11-10,2.0,0.9012891
LaMarcus Aldridge,2017-11-11,2.0,0.8558785
LaMarcus Aldridge,2017-11-14,2.0,0.9668486
LaMarcus Aldridge,2017-11-15,0.0,0.40391436
LaMarcus Aldridge,2017-11-17,0.0,0.35851416
LeBron James,2017-10-29,0.0,0.7740001
LeBron James,2017-11-01,1.0,1.0669987
LeBron James,2017-11-03,2.0,0.92492026
LeBron James,2017-11-05,2.0,0.87927717
LeBron James,2017-11-07,0.0,0.13239676
LeBron James,2017-11-09,1.0,0.71083874
LeBron James,2017-11-11,1.0,0.9490816
LeBron James,2017-11-13,3.0,1.5954506
LeBron James,2017-11-15,1.0,1.3148601
LeBron James,2017-11-17,0.0,1.0042605
