player_name,game_date,ast,ast_pred
Kristaps Porzingis,2017-11-05,1.0,1.4434228
Kristaps Porzingis,2017-11-07,1.0,1.5620831
Kristaps Porzingis,2017-11-11,2.0,1.7652855
Kristaps Porzingis,2017-11-13,1.0,1.7521958
Kristaps Porzingis,2017-11-15,2.0,2.3276277
Kristaps Porzingis,2017-11-17,0.0,1.4717908
Kyle Lowry,2017-11-07,6.0,7.542279
Kyle Lowry,2017-11-09,7.0,7.7223253
Kyle Lowry,2017-11-12,7.0,8.479308
Kyle Lowry,2017-11-14,10.0,8.650656
Kyle Lowry,2017-11-17,10.0,7.4795027
Kyrie Irving,2017-11-01,5.0,3.5668707
Kyrie Irving,2017-11-03,6.0,4.7251916
Kyrie Irving,2017-11-05,5.0,2.6756792
Kyrie Irving,2017-11-06,7.0,2.958207
Kyrie Irving,2017-11-08,5.0,3.932462
Kyrie Irving,2017-11-10,0.0,4.321108
Kyrie Irving,2017-11-14,5.0,4.824522
Kyrie Irving,2017-11-16,6.0,5.7111945
LaMarcus Aldridge,2017-10-30,2.0,1.8283137
LaMarcus Aldridge,2017-11-02,2.0,2.1287427
LaMarcus Aldridge,2017-11-03,3.0,2.521595
LaMarcus Aldridge,2017-11-05,2.0,1.979961
LaMarcus Aldridge,2017-11-07,2.0,2.4389415
LaMarcus Aldridge,2017-11-10,4.0,3.5404706
LaMarcus Aldridge,2017-11-11,3.0,3.4300537
LaMarcus Aldridge,2017-11-14,4.0,2.754877
LaMarcus Aldridge,2017-11-15,3.0,2.951527
LaMarcus Aldridge,2017-11-17,1.0,2.4579952
LeBron James,2017-10-29,7.0,9.746963
LeBron James,2017-11-01,11.0,9.464871
LeBron James,2017-11-03,7.0,9.843712
LeBron James,2017-11-05,12.999999,8.114738
LeBron James,2017-11-07,9.0,7.44092
LeBron James,2017-11-09,7.0,8.358452
LeBron James,2017-11-11,4.0,7.6394606
LeBron James,2017-11-13,12.0,7.7938833
LeBron James,2017-11-15,8.0,8.48086
LeBron James,2017-11-17,6.0,8.072823
Marc Gasol,2017-10-30,2.0,2.6565416
Marc Gasol,2017-11-01,0.0,3.9131453
Marc Gasol,2017-11-05,7.0,5.8437805
Marc Gasol,2017-11-07,4.0,4.6080675
Marc Gasol,2017-11-11,3.0,4.610149
Marc Gasol,2017-11-13,6.0,5.028395
Marc Gasol,2017-11-15,5.0,3.985488
Myles Turner,2017-11-15,4.0,2.9204633
Myles Turner,2017-11-17,1.0,1.3426126
Nikola Jokic,2017-10-30,2.0,5.241738
Nikola Jokic,2017-11-01,10.0,8.028053
Nikola Jokic,2017-11-03,2.0,3.9773104
Nikola Jokic,2017-11-04,3.0,5.8413367
Nikola Jokic,2017-11-07,5.0,5.6995587
Nikola Jokic,2017-11-09,3.0,5.0946493
Nikola Jokic,2017-11-11,9.0,6.731546
Nikola Jokic,2017-11-13,3.0,5.436722
Nikola Jokic,2017-11-17,6.0,4.7106543
Nikola Vucevic,2017-10-30,3.0,2.9653769
Nikola Vucevic,2017-11-01,4.0,3.708463
Nikola Vucevic,2017-11-03,2.0,2.5501165
Nikola Vucevic,2017-11-08,1.0,2.222168
Nikola Vucevic,2017-11-10,2.0,3.23953
Nikola Vucevic,2017-11-11,2.0,3.0816054
Nikola Vucevic,2017-11-13,4.0,3.6496694
Nikola Vucevic,2017-11-15,4.0,3.2635574
Paul George,2017-10-28,0.0,3.1323483
Paul George,2017-10-31,0.0,2.1854951
Paul George,2017-11-03,1.0,2.096891
