Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Robin Lopez,29.6,CHI,Big,1642,65,19.0%,32,110.9,76,11.9%,72,0.63,36,14.7%
Kevin Love,29.1,CLE,Big,1621,88,23.1%,80,123.1,62,9.9%,29,0.43,78,10.4%
Kyle Lowry,31.6,TOR,Point,2499,52,24.4%,87,120.5,74,30.7%,69,1.26,56,13.0%
Timothe Luwawu-Cabarrot,22.5,PHI,Wing,740,44,16.1%,20,98.9,53,9.8%,56,0.61,36,12.4%
Trey Lyles,22.0,DEN,Big,1286,68,19.3%,57,116.7,65,10.2%,53,0.53,88,9.3%
Shelvin Mack,27.5,ORL,Combo,1278,59,21.2%,46,104.8,89,30.0%,88,1.41,38,13.9%
Josh Magette,27.9,ATL,Point,186,8,16.4%,10,92.3,87,34.1%,100,2.07,72,11.9%
Ian Mahinmi,31.0,WAS,Big,1115,41,15.1%,68,119.7,27,6.6%,31,0.44,2,26.3%
Thon Maker,20.7,MIL,Big,1193,26,13.7%,8,98.8,15,5.6%,24,0.41,58,12.2%
Boban Marjanovic,29.2,LAC,Big,150,90,23.7%,90,127.5,32,7.0%,6,0.29,45,13.9%
Boban Marjanovic,29.2,DET,Big,146,98,29.2%,60,117.2,89,14.8%,45,0.51,13,18.4%
Lauri Markkanen,20.4,CHI,Big,1954,69,19.7%,35,111.4,19,6.2%,9,0.32,90,9.2%
Jarell Martin,23.4,MEM,Big,1599,50,16.0%,10,101.1,36,7.2%,35,0.45,38,14.4%
Frank Mason,23.6,SAC,Point,892,57,25.3%,13,94.2,23,22.8%,25,0.90,69,12.1%
Wesley Matthews,31.0,DAL,Wing,2090,57,17.6%,53,108.7,70,12.5%,75,0.71,64,10.3%
Luc Mbah a Moute,31.1,HOU,Forward,1520,16,12.0%,88,120.5,16,5.1%,24,0.42,0,16.6%
Patrick McCaw,22.0,GSW,Combo,851,7,13.0%,16,96.2,11,11.1%,36,0.85,48,13.5%
CJ McCollum,26.1,POR,Wing,2899,93,26.8%,46,107.6,81,15.5%,48,0.58,80,8.5%
